Wall time,Step,Value
1732570607.710628,199,0.0
1732571017.2492497,399,0.0
1732571651.425529,599,0.0
1732572309.5740416,799,0.0
1732572969.270527,999,0.0
1732573659.5651393,1199,0.0
1732574347.5938768,1399,0.01923076994717121
1732575047.469096,1599,0.0
1732575722.1044073,1799,0.0
1732576428.7221258,1999,0.0
1732577098.4541793,2199,0.0
1732577769.4216697,2399,0.0
1732578477.903162,2599,0.0
1732579183.6167731,2799,0.0
1732579881.3943384,2999,0.0
1732580565.032156,3199,0.0
1732581285.8801565,3399,0.0
1732582012.6923592,3599,0.014925372786819935
1732582732.3412776,3799,0.03703703731298447
1732583474.489707,3999,0.0
1732584198.0259159,4199,0.0
1732584931.1767764,4399,0.0
1732585671.6982362,4599,0.0
1732586397.9574423,4799,0.0
1732587125.304855,4999,0.0
1732587890.7287908,5199,0.0
1732588628.805093,5399,0.0
1732589386.5310109,5599,0.0
1732590122.49277,5799,0.0
1732590886.9281087,5999,0.0
1732591640.4628358,6199,0.0
1732592395.6806042,6399,0.0
1732593152.5074625,6599,0.0181818176060915
1732593920.6434658,6799,0.0117647061124444
1732594697.3805645,6999,0.02083333395421505
1732595481.8829703,7199,0.0
1732596235.4869308,7399,0.0
1732596990.0469277,7599,0.0
1732597714.507419,7799,0.021739130839705467
1732598453.631398,7999,0.0
1732599225.0756266,8199,0.016129031777381897
1732599992.8113334,8399,0.0
1732600751.867422,8599,0.0
1732601509.869642,8799,0.0
1732602279.3713248,8999,0.021276595070958138
1732603032.884974,9199,0.0
1732603801.547745,9399,0.0
1732604559.170162,9599,0.011363636702299118
1732605315.0852332,9799,0.0
1732606035.0608287,9999,0.0
1732606764.0766795,10199,0.0
1732607487.4081547,10399,0.0
1732608215.4345264,10599,0.0357142873108387
1732608982.1974814,10799,0.011363636702299118
1732609705.1689773,10999,0.0
1732610424.20249,11199,0.0
1732611185.9562736,11399,0.0
1732611928.600933,11599,0.0
1732612680.762525,11799,0.0
1732613454.4421728,11999,0.0
1732614190.3209143,12199,0.0
1732614946.277528,12399,0.0
1732615702.270589,12599,0.0
1732616442.7864974,12799,0.0
1732617178.1201942,12999,0.0
1732617923.1292043,13199,0.0
1732618692.9596348,13399,0.0
1732619451.0025668,13599,0.011363636702299118
1732620212.2989938,13799,0.0
1732620970.159949,13999,0.0
1732621739.2523234,14199,0.0
1732622483.110168,14399,0.0
1732623220.89192,14599,0.0
1732623968.2901115,14799,0.0
1732624704.7886293,14999,0.0
1732625463.885626,15199,0.0
1732626208.3711965,15399,0.0
1732626939.07743,15599,0.0
1732627627.9256065,15799,0.0
1732628371.3306618,15999,0.0
1732629114.7341611,16199,0.0
1732629870.7126317,16399,0.0
1732630579.8034036,16599,0.0
1732631306.801739,16799,0.0
1732632035.8251176,16999,0.0
1732632795.8479989,17199,0.0
1732633539.3114488,17399,0.0
1732634298.6971734,17599,0.01515151560306549
1732635060.4418974,17799,0.015384615398943424
1732635797.399816,17999,0.0
1732636523.9707282,18199,0.0
1732637278.3553755,18399,0.0
1732638043.7192843,18599,0.0
1732638812.7823946,18799,0.014705882407724857
1732639547.3336735,18999,0.0
1732640300.9630473,19199,0.0
1732641045.316613,19399,0.019999999552965164
1732641791.4543452,19599,0.0
1732642534.2254684,19799,0.012500000186264515
1732643274.8108718,19999,0.0
